,tws,reservoir,soil_moisture,groundwater,tws_minus_reservoir_only
2020-01-01,-1.3589296819523384,-8.34789723686104,-11.01562041055993,18.00458796546863,6.988967554908701
2020-02-01,6.792884316954676,-10.9015318427835,-7.938909158120909,25.633325317859082,17.694416159738175
2020-03-01,-27.32249774530141,-11.755957074634498,-16.23163140900778,0.6650907383408605,-15.566540670666916
2020-04-01,-21.373136571583284,-11.33663508720268,-13.539313642437554,3.502812158056948,-10.036501484380604
2020-05-01,-7.05922308574709,-10.642466792440358,-4.137426770633906,7.720670477327173,3.5832437066932665
2020-06-01,30.66590846945812,-6.68256639368916,8.769552445788245,28.578922417359028,37.348474863147274
2020-07-01,-4.890473675802536,-9.860493337949254,-0.8981803973519109,5.868200059498625,4.970019662146715
2020-08-01,5.35435669340939,-3.1878918685694524,5.475693613271966,3.0665549487068757,8.542248561978841
2020-09-01,-12.170671305839043,-4.969479619668924,-15.762869950793329,8.561678264623213,-7.201191686170117
2020-10-01,-16.46619352782603,-5.453805105941704,-38.21434233315964,27.201953911275325,-11.012388421884319
2020-11-01,12.3520020148729,-6.234301508098246,-37.871139523740716,56.457443046711866,18.58630352297115
2020-12-01,-13.812381144308032,-7.102497056882615,-33.04299063837967,26.333106550954252,-6.709884087425416
2021-01-01,-21.048195876849157,-6.925433202521708,-34.11877369142338,19.99601101709592,-14.12276267432745
2021-02-01,-42.80219170501627,-12.866772365029348,-28.92060889544211,-1.0148104445448225,-29.935419339986932
2021-03-01,-24.686626807226737,-14.424227796722066,-29.04560097032189,18.78320195981722,-10.262399010504671
2021-04-01,-1.8648339536569771,-13.512538901220701,-27.966703092569766,39.614408040133505,11.647704947563724
2021-05-01,9.765259950666263,-12.113761942994522,-21.19197555421323,43.07099744787401,21.879021893660784
2021-06-01,17.19750163557387,-8.379146251088287,10.499759429437729,15.076888457224433,25.57664788666216
2021-07-01,17.921536736911793,-9.913513636893262,18.13631824050635,9.698732133298705,27.835050373805057
2021-08-01,28.344145790431103,-10.549917736143628,11.803143368490009,27.090920158084717,38.894063526574726
2021-09-01,5.578210872256488,-13.761060525072626,-18.016722627855675,37.35599402518479,19.339271397329117
2021-10-01,3.8666288927800334,-16.48502431910078,-6.870912984973418,27.22256619685423,20.351653211880812
2021-11-01,-18.951882864259357,-16.131483928181044,-4.938229867924737,2.1178309318464184,-2.820398936078318
2021-12-01,-36.598538180984384,-16.389298036808864,-8.05343759029921,-12.155802553876315,-20.209240144175528
2022-01-01,-17.280004041219037,-15.619195911630646,-15.797778437971123,14.13697030838273,-1.6608081295883943
